GearDamageCode,GearDamageName,Comments
1,No Damage; gear fishing properly,
2,Damage; no loss of catch,Tears in one wing of an otter trawl
3,Damage; some or complete loss of catch,"Tears in the codend of an otter trawl, caused some loss of fish, badly-twisted gear prevented fish from being caught"
