SetTypeCode,SetTypeName,Comments
1,Domestic Vessel - Domestic Quota,
2,Foreign Vessel - Foreign Quota,
3,Resource Short Plant Program,
4,Charter,
5,Over The Side Sales,
6,Inshore / Offshore,
7,Research,
8,Experimental  (Exploratory),
10,NAFO Shrimp Deployment  (Norwegian),
11,Quota Transfer  ,Code #11 started in 2010
