SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
442,"Cod, Tomcod",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Microgadus tomcod,
443,Pollock,Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Pollachius virens,
444,"Hake,Longfin",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Phycinae,Urophycis chesteri,
445,"Hake,Red (Squirrel)",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Phycinae,Urophycis chuss,
446,"Hake,Spotted",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Phycinae,Urophycis regius,
447,"Hake,White (Common)",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Phycinae,Urophycis tenuis,
448,"Hake,Offshore Silver",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Merlucciidae,Merlucciinae,Merluccius albidus,
449,"Hake,Silver",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Merlucciidae,Merlucciinae,Merluccius bilinearis,
450,Hake (NS)(Silver & Offshore),Chordata,Osteichthyes (Actinopterygii),Gadiformes,Merlucciidae,Merlucciinae,Merluccius  sp.,
451,"Cod,Arctic",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Boreogadus saida,
452,"Cod,Polar",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Arctogadus glacialis,
453,"Rockling, Threebeard (NS)",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Gaidropsarus spp.,
456,"Ling,Blue",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Lotinae,Molva brykelange,
457,"Ling,European",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Lotinae,Molva molva,
458,Cusk,Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Lotinae,Brosme brosme,
461,"Rockling, Fourbeard",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Phycinae,Enchelyopus cimbrius,
471,Grenadiers (NS),Chordata,Osteichthyes (Actinopterygii),Gadiformes,Macrouridae,,,
474,"Grenadier,Roughhead",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Macrouridae,Macrourinae,Macrourus berglax,
478,"Grenadier,Common (Marlin Spike)",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Macrouridae,Macrourinae,Nezumia bairdi,
481,"Grenadier,Roundnose",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Macrouridae,Macrourinae,Coryphaenoides rupestris,
492,Opah,Chordata,Osteichthyes (Actinopterygii),Lampridiformes,Lamprididae,,Lampris guttatus,
499,Fangtooth (Ogrefish) (NS),Chordata,Osteichthyes (Actinopterygii),Beryciformes,Anoplogastridae,,,
502,Ridgeheads (NS),Chordata,Osteichthyes (Actinopterygii),Beryciformes,Melamphaeidae,,,
506,Beardfishes (NS),Chordata,Osteichthyes (Actinopterygii),Polymixiformes,Polymixiidae,,,
511,Alfonsinos (NS),Chordata,Osteichthyes (Actinopterygii),Beryciformes,Berycidae,,,
516,Manefishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Caristiidae,,,
519,Spinyfins (NS),Chordata,Osteichthyes (Actinopterygii),Beryciformes,Diretmidae,,,
526,Slimeheads (NS) (Orange Roughy),Chordata,Osteichthyes (Actinopterygii),Beryciformes,Trachichthyidae,,,
529,Dories (NS),Chordata,Osteichthyes (Actinopterygii),Zeiformes,Zeidae,,,
531,Diamond Dories (NS),Chordata,Osteichthyes (Actinopterygii),Zeiformes,Grammicolepididae,,,
534,Mullets (NS),Chordata,Osteichthyes (Actinopterygii),Mugiliformes,Mugilidae,,,
536,Barracudas (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Sphyraenidae,,,
539,"Silversides,Atlantic",Chordata,Osteichthyes (Actinopterygii),Atheriniformes,Atherinopsidae,Menidiinae,Menidia menidia,
542,Squaretails (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Tetragonuridae,,,
546,Cutlassfishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Trichiuridae,,,
550,Snake Mackerels (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Gempylidae,,,
556,"Mackerels,Tunas (NS)",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,,
560,"Tuna,Skipjack",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Euthynnus (Katsuwonus) pelamis,
562,"Tuna,Albacore",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Thunnus alalunga,
563,"Tuna,Yellowfin",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Thunnus albacares,
564,"Tuna,Bigeye",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Thunnus obesus,
565,"Tuna,Bluefin",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Thunnus thynnus,
568,"Mackerel,King",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Scomberomorus cavalla,
572,"Mackerel,Atlantic",Chordata,Osteichthyes (Actinopterygii),Perciformes,Scombridae,Scombrinae,Scomber scombrus,
575,"Marlins,Sailfishes",Chordata,Osteichthyes (Actinopterygii),Perciformes,Istiophoridae,,,
576,"Marlin,Atlantic White",Chordata,Osteichthyes (Actinopterygii),Perciformes,Istiophoridae,,Makaira (Tetrapterus) albida,
577,"Marlin,Blue",Chordata,Osteichthyes (Actinopterygii),Perciformes,Istiophoridae,,Makaira nigricans,
582,Swordfish,Chordata,Osteichthyes (Actinopterygii),Perciformes,Xiphiidae,,Xiphias gladius,
591,Sea Basses (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Serranidae,,,
593,Wreckfish,Chordata,Osteichthyes (Actinopterygii),Perciformes,Polyprionidae,,Polyprion americanus,
598,"Sea Bass,Rock",Chordata,Osteichthyes (Actinopterygii),Perciformes,Serranidae,Serraninae,Centropristes philadelphicus,
604,Snappers (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Lutjanidae,,,
609,Bigeyes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Priacanthidae,,,
612,Cobias (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Rachycentridae,,,
615,Cardinalfishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Apogonidae,,,
619,Tilefishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Malacanthidae,Latilinae,,
622,Bluefishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Pomatomidae,,,
625,"Jacks,Pompanos (NS)",Chordata,Osteichthyes (Actinopterygii),Perciformes,Carangidae,,,
640,Dolphinfish (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Coryphaenidae,,Coryphaena spp,
643,Pomfrets (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Bramidae,,,
647,Weakfishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Sciaenidae,,Cynoscion spp,
651,Drums & Coakers (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Sciaenidae,,,
658,Surmullets (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Mullidae,,,
661,Porgies (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Sparidae,,,
667,Butterflyfish (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Chaetodontidae,,,
672,Cunner (Connor),Chordata,Osteichthyes (Actinopterygii),Perciformes,Labridae,,Tautogolabrus adspersus,
678,Swallowers (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Chiasmodontidae,,,
681,Percophids (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Percophidae,,,
684,Stargazers (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Uranoscopidae,,,
687,Dragonets (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Draconettidae,,,
693,Sand Lances (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Ammodytidae,,,
698,Wolffishes (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Anarhichadidae,,,
699,"Wolffish,Broadhead",Chordata,Osteichthyes (Actinopterygii),Perciformes,Anarhichadidae,,Anarhichas denticulatus,
700,"Wolffish,Striped",Chordata,Osteichthyes (Actinopterygii),Perciformes,Anarhichadidae,,Anarhichas lupus,
701,"Wolffish,Spotted",Chordata,Osteichthyes (Actinopterygii),Perciformes,Anarhichadidae,,Anarhichas minor,
703,Gunnels (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Pholidae,,,
709,Blennies and Shannies (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Stichaeidae,,,
721,Wrymouth,Chordata,Osteichthyes (Actinopterygii),Perciformes,Cryptacanthodidae,,Cryptacanthodes maculatus,
725,"Eelpouts,Ocean Pouts,Wolfeels (NS)",Chordata,Osteichthyes (Actinopterygii),Perciformes,Zoarcidae,,,
757,Brotulas (NS),Chordata,Osteichthyes (Actinopterygii),Ophidiiformes,Bythitidae,,,
760,Cusk Eels (NS),Chordata,Osteichthyes (Actinopterygii),Ophidiiformes,Ophidiidae,,,
776,"Ruffs, Barrelfish( NS) ",Chordata,Osteichthyes (Actinopterygii),Perciformes,Centrolophidae,,,
781,Butterfish (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Stromateidae,,,
791,Rockfishes (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,,
792,Redfish (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,Sebastes  sp.,
793,"Redfish,Golden (Marinus)",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,Sebastes marinus,
794,"Redfish,Deepwater (Mentella)",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,Sebastes mentella,
796,"Redfish,Bank",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,Sebastes fasciatus,
797,Blackbelly Rosefish,Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Scorpaenidae,,Helicolenus dacytlopterus,
798,Searobins (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Triglidae,,,
808,Sculpins (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,,
809,Sea Raven,Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Hemitripteridae,,Hemitripterus americanus,
810,"Sculpin,Hookear (NS)",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Artediellus  sp.,
813,"Sculpin,Mailed (NS)",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Triglops  sp.,
817,"Sculpin, Horned *Shorthorn, Longhorn, Grubby",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Myoxocephalus  sp.,
823,"Sculpin,Arctic Staghorn",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Gymnocanthus tricuspis,
827,"Sculpin,Deep Sea",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Cottunculus  cp.,s
828,"Sculpin,Deepsea Pallid",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Cottunculus thompsoni,
829,"Sculpin,Deepsea Polar",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Cottunculus microps,
830,"Sculpin,Twohorn (NS) *Twohorn and Spatulate",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cottidae,,Icelus  sp.,
835,Alligatorfish (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Agonidae,,,
836,"Alligatorfish,Northern",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Agonidae,,Agonus decagonus,
837,"Alligatorfish,Arctic",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Agonidae,,Aspidophoroides olriki,
838,"Alligatorfish,Common",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Agonidae,,Aspidophoroides monopterygius,
842,Lumpfishes(NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cyclopteridae,Cyclopterinae,,
843,Lumpsuckers (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cyclopteridae,Cyclopterinae,Eumicrotremus  sp.,
849,"Lumpfish,Common",Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Cyclopteridae,Cyclopterinae,Cyclopterus lumpus,
853,Seasnails (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Liparidae,,,
877,Flying Gurnards (NS),Chordata,Osteichthyes (Actinopterygii),Scorpaeniformes,Dactylopteridae,,,
880,Toadfishes (NS),Chordata,Osteichthyes (Actinopterygii),Batrachoidiformes,Batrachoididae,,,
887,"Flounder,Righteyed (NS)",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,,,
889,"Flounder,American Plaice",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Hippoglossoidinae,Hippoglossoides platessoides,
890,"Flounder,Witch",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Pleuronectinae,Glyptocephalus cynoglossus,
891,"Flounder,Yellowtail",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Pleuronectinae,Limanda ferruginea,
892,"Flounder,Turbot",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Hippoglossinae,Reinhardtius hippoglossoides,
893,"Flounder,Atlantic Halibut",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Hippoglossinae,Hippoglossus hippoglossus,
894,"Flounder,Smooth",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Pleuronectinae,Liopsetta putnami,
895,"Flounder,Winter",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Pleuronectidae,Pleuronectinae,Pseudoplueronectes americanus,
898,"Flounder,Lefteyed (NS)",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Bothidae,,,
900,"Flounder,Summer",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Paralichthyidae,,Paralichthys dentatus,
901,"Flounder,Four Spot",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Paralichthyidae,,Paralichthys oblongus,
907,"Flounder,Windowpane",Chordata,Osteichthyes (Actinopterygii),Pleuronectiformes,Scophthalmidae,,Lophopsetta aquosus,
921,Remoras/Sharksuckers (NS),Chordata,Osteichthyes (Actinopterygii),Perciformes,Echeneidae,,,
928,Spikefishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Triacanthodidae,,,
932,Filefishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Monacanthidae,,,
940,Triggerfishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Balistidae,,,
946,Trunkfishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Ostraciidae,,,
950,Puffers (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Tetraodontidae,,,
958,Porcupinefishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Diodontidae,,,
962,Ocean Sunfishes (NS),Chordata,Osteichthyes (Actinopterygii),Tetraodontiformes,Molidae,,,
965,Anglers (Goosefishes) (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Lophiidae,,,
966,"Angler,Common (Monkfish)",Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Lophiidae,,Lophius americanus,
968,Batfishes (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Ogocephalidae,,,
974,Frogfishes (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Antennariidae,,,
977,Gapers (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Chaunacidae,,,
980,Sea Devils (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Ceratiidae,,,
981,"Deepsea Angler,Big",Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Ceratiidae,,Ceratius holboelli,
982,"Sea Devil, Warted",Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Ceratiidae,,Cryptosaras couesi,
985,Blacktail Netdevil,Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Linophrynidae,,Linophryne coronata,
987,Footballfishes (NS),Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Himantolophidae,,,
988,"Footballfish,Atlantic",Chordata,Osteichthyes (Actinopterygii),Lophiiformes,Himantolophidae,,Himantolophus groenlandicus,
999,Unidentified Fish,Chordata,Osteichthyes (Actinopterygii),,,,Unidentified Fish,
1010,Whale (NS),Chordata,Mammalia,Cetacea,,,,
1011,Baleen Whale (NS),Chordata,Mammalia,Cetacea (Mysticeti),,,,
