SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
8020,Shrimp (NS),Arthropoda,Malacostraca,Decapoda,,,,
8111,"Shrimp, (Pandalus Borealis)",Arthropoda,Malacostraca,Decapoda,Pandalidae,,Pandalus borealis,
8112,"Shrimp, (Pandalus Montagui)",Arthropoda,Malacostraca,Decapoda,Pandalidae,,Pandalus montagui,
8154,Lobster,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephropinae,Homerus americanus,
8177,"Crab, Hermit (NS)",Arthropoda,Malacostraca,Decapoda,Paguridae,,,
8194,"Crab, Spiny (NS)",Arthropoda,Malacostraca,Decapoda,Lithodidae,,,
8196,"Crab, Spiny Brown",Arthropoda,Malacostraca,Decapoda,Lithodidae,,Lithodes maja,
8200,"Crab, Spiny Red",Arthropoda,Malacostraca,Decapoda,Lithodidae,,Neolithodes grimaldii,
8203,"Crab, True Crab (NS)",Arthropoda,Malacostraca,Decapoda,,,,
8204,"Crab, Cancer ",Arthropoda,Malacostraca,Decapoda,Cancridae,,Cancer spp.,
8213,"Crab, Snow Or Queen",Arthropoda,Malacostraca,Decapoda,Oregoniidae,,Chionoecetes opilio,
8216,"Crab, Toad (NS)",Arthropoda,Malacostraca,Decapoda,Oregoniidae,,Hyas spp.,
8260,Echinoderm,Echinodermata,,,,,,
8290,Sea Cucumber (NS),Echinodermata,Holothuroidea,,,,,
8295,"Sea Cucumber, Orange",Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,,Psolus fabricii,
8312,"Sea Cucumber, Brown",Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,,Cucumaria frondosa,
8360,Sea Urchin (NS),Echinodermata,Echinoidea,Echinoida,,,,
8370,Sand Dollar (NS),Echinodermata,Echinoidea,Clypeasteroida,,,,
8390,Sea Star / Starfish (NS),Echinodermata,Asteroidea,,,,,
8539,Basket Star,Echinodermata,Ophiuroidea,Phrynophiurida,Gorgonocephalidae,,,
8549,Brittle Star,Echinodermata,Ophiuroidea,Ophiurida,,,,
8900,"Coral, Unknown",Cnidaria,Anthozoa,,,,,
8901,"Coral, Sea Pen",Cnidaria,Anthozoa,Pennatulacea,,,,
8902,"Coral, Sea Corn",Cnidaria,Anthozoa,Gorgonacea,Primnoidae,,Primnoa resedaeformis,
8903,"Coral, Bubblegum",Cnidaria,Anthozoa,Gorgonacea,Paragorgiidae,,Paragorgia arborea,
8906,"Coral, Bamboo",Cnidaria,Anthozoa,Gorgonacea,Isididae,,Keratoisis ornata,
8907,"Coral, Bushy",Cnidaria,Anthozoa,Gorgonacea,Acanthogorgiidae,,Acanthogorgia armata,
8908,"Coral, Mushroom",Cnidaria,Anthozoa,Gorgonacea,Anthomastidae,,Anthomastus spp.,
8909,"Coral, Bonsai",Cnidaria,Anthozoa,Gorgonacea,Isididae,,Acanella arbuscula,
8910,"Coral, Sea Whip",Cnidaria,Anthozoa,Gorgonacea,Chrysogorgiidae,,Radicipes gracilis,
8912,"Coral, Black",Cnidaria,Anthozoa,Antipatharia,Schizopathidae,,,
8913,"Coral, Black Wire",Cnidaria,Anthozoa,Gorgonacea,Plexauridae,,Paramuricea spp.,
8914,"Coral, Cup",Cnidaria,Anthozoa,Scleractinia,,,,
8920,"Coral, Soft",Cnidaria,Anthozoa,Gorgonacea,Nephthyidae,,,
9600,"Bird, Unknown",Chordata,Aves,,,,,
9603,Loon (NS),Chordata,Aves,Ciconiiformes,Gaviidae,,Gavia sp.,
9604,"Loon, Common",Chordata,Aves,Ciconiiformes,Gaviidae,,Gavia immer,
9605,"Loon, Red-Throated",Chordata,Aves,Ciconiiformes,Gaviidae,,Gavia stellata,
9608,Shearwater or Fulmar (NS),Chordata,Aves,Ciconiiformes,Procellariidae,,,
9610,"Fulmar, Northern (Noddy)",Chordata,Aves,Ciconiiformes,Procellariidae,,Fulmarus glacialis,
9612,"Shearwater, Cory's",Chordata,Aves,Ciconiiformes,Procellariidae,,Puffinus diomedia,
9613,"Shearwater, Greater",Chordata,Aves,Ciconiiformes,Procellariidae,,Puffinus gravis,
9614,"Shearwater, Manx",Chordata,Aves,Ciconiiformes,Procellariidae,,Puffinus puffinus,
9615,"Shearwater, Sooty",Chordata,Aves,Ciconiiformes,Procellariidae,,Puffinus griseus,
9626,Gannet,Chordata,Aves,Ciconiiformes,Sulidae,,Morus bassana,
9628,Cormorant (NS),Chordata,Aves,Ciconiiformes,Phalacrocoracidae,,Phalacrocorax sp.,
9629,"Cormorant, Great",Chordata,Aves,Ciconiiformes,Phalacrocoracidae,,Phalacrocorax carbo,
9630,"Cormorant, Double-Crested",Chordata,Aves,Ciconiiformes,Phalacrocoracidae,,Phalacrocorax auritus,
9632,Ducks and Geese (NS),Chordata,Aves,Anseriformes,,,,
9637,"Eider, Common",Chordata,Aves,Anseriformes,Anatidae,Anatinae,Somateria mollissima,
9657,Jaegers and Skuas (NS),Chordata,Aves,Ciconiiformes,Laridae,Stercorariinae,,
9666,Gull (NS) (Includes Kittiwakes),Chordata,Aves,Ciconiiformes,Laridae,Larinae,,
9671,"Gull, Great Black-Backed",Chordata,Aves,Ciconiiformes,Laridae,Larinae,Larus marinus,
9672,"Gull, Herring",Chordata,Aves,Ciconiiformes,Laridae,Larinae,Larus argentatus,
9690,Auk (NS),Chordata,Aves,Ciconiiformes,Alcidae,,,
9691,Razorbill,Chordata,Aves,Ciconiiformes,Alcidae,,Alca torda,
